Time,Data
0.749,-0.13893501549222212
0.75,-0.12433389080409554
0.751,-0.09983662350115637
0.752,-0.09703095177608516
0.753,-0.120015873696306
0.754,-0.14529136619446278
0.755,-0.1443087072787552
0.756,-0.11746874341894327
0.757,-0.10562236857451231
0.758,-0.12019176741091754
0.759,-0.14204612904196845
0.76,-0.15140464916877136
0.761,-0.1349038955486956
0.762,-0.10880496343191827
0.763,-0.10319626546126093
0.764,-0.12543012103480328
0.765,-0.14967390171747866
0.766,-0.14160645286041904
0.767,-0.10516599972241952
0.768,-0.09048990543901488
0.769,-0.11050771222839717
0.77,-0.1338040704906749
0.771,-0.13229406258022436
0.772,-0.10871366073262341
0.773,-0.0920110294592464
0.774,-0.1126755605995315
0.775,-0.1451026818632723
0.776,-0.14648966547606976
0.777,-0.1226257162264542
0.778,-0.10074425788984691
0.779,-0.11389798662101352
0.78,-0.16018512006350435
0.781,-0.1883238713153488
0.782,-0.15043975580982955
0.783,-0.08682148072004885
0.784,-0.06049849019023964
0.785,-0.08811019841783953
0.786,-0.11949905617333623
0.787,-0.09483761547799
0.788,-0.01738223147500122
0.789,0.05178439170698002
0.79,0.08030219171259692
0.791,0.08900087570788123
0.792,0.11948099959970082
0.793,0.19936238224265157
0.794,0.3074930560018345
0.795,0.40822430410310445
0.796,0.4660008998575597
0.797,0.4928842749268506
0.798,0.5405859747497631
0.799,0.6355393539613609
0.8,0.754973432302601
0.801,0.869296503627973
0.802,0.9544622257256673
0.803,1.009665772198554
0.804,1.0547270547855878
0.805,1.1156008513447582
0.806,1.2204127773493392
0.807,1.3573436114705226
0.808,1.450416261721079
0.809,1.4711025353350784
0.81,1.4594274939019827
0.811,1.4614807947118584
0.812,1.5133240781418573
0.813,1.5947597606894472
0.814,1.6229854105482693
0.815,1.5335467287193083
0.816,1.373574860270771
0.817,1.2520139675726603
0.818,1.2398202975224675
0.819,1.2791252369221253
0.82,1.2292615973355845
0.821,1.051412416011615
0.822,0.8529672261735861
0.823,0.734330665175012
0.824,0.7197509445212275
0.825,0.7176271474000384
0.826,0.6164483235628384
0.827,0.41034974721653145
0.828,0.21269311341737435
0.829,0.13687528323978093
0.83,0.15764510487873679
0.831,0.1377517024437305
0.832,0.015082538686963631
0.833,-0.14276433621773002
0.834,-0.23893215009911534
0.835,-0.21792480859676658
0.836,-0.13585649263085073
0.837,-0.09923106328769755
0.838,-0.14318657003236782
0.839,-0.2111274835674111
0.84,-0.2385499398130918
0.841,-0.19698266467224448
0.842,-0.130981942273176
0.843,-0.10871284672196857
0.844,-0.13843392510062696
0.845,-0.1775574039843461
0.846,-0.17921311302419263
0.847,-0.14277650377417378
0.848,-0.10967875609320055
0.849,-0.10743035349106222
0.85,-0.12463548772308032
0.851,-0.1432230293154784
0.852,-0.14674475456324262
0.853,-0.13018994357966768
0.854,-0.1117082104010001
0.855,-0.11430299602353317
0.856,-0.13329536896133942
0.857,-0.15679288425424556
0.858,-0.1485094040555226
0.859,-0.12617523300504513
0.86,-0.12135719206912227
0.861,-0.1381304200254881
0.862,-0.15443505805266178
0.863,-0.1559657329006874
0.864,-0.1482967362839707
0.865,-0.13711239841527
0.866,-0.1424137863040819
0.867,-0.15197780120766657
0.868,-0.15824444708313795
0.869,-0.15426904450676915
0.87,-0.1465515323008113
0.871,-0.15460968151759202
0.872,-0.16939986840900553
0.873,-0.17094810521578138
0.874,-0.16230037605699926
0.875,-0.1565252022827441
0.876,-0.16877853453394526
0.877,-0.18406724516932224
0.878,-0.1793145043709847
0.879,-0.15124653918530573
0.88,-0.13874938134452922
0.881,-0.1587694241869862
0.882,-0.1848349553781729
0.883,-0.17900223107267235
0.884,-0.1378922337032868
0.885,-0.10780877484100962
0.886,-0.12697672386142828
0.887,-0.16667163497942525
0.888,-0.1840555760671202
0.889,-0.15747174214103396
0.89,-0.10849259246021775
0.891,-0.09546071933430668
0.892,-0.14393743278497995
0.893,-0.18750077736070822
0.894,-0.16924679625868966
0.895,-0.11470122539877398
0.896,-0.08775031519906072
0.897,-0.12051112997438775
0.898,-0.17026097212961833
0.899,-0.17678103861282493
0.9,-0.13600803491037336
0.901,-0.10306167171982517
0.902,-0.12011467027870895
0.903,-0.16771904021987577
0.904,-0.17971854937252488
0.905,-0.14695562049505698
0.906,-0.1065951111999634
0.907,-0.10527777170266725
0.908,-0.14363201981750928
0.909,-0.1758299056223469
0.91,-0.15777271943565405
0.911,-0.11158136717700794
0.912,-0.09558285175088048
0.913,-0.1241163539862121
0.914,-0.15777887355960593
0.915,-0.15133627839092914
0.916,-0.10841784357975165
0.917,-0.08341414084085565
0.918,-0.09888650704738657
0.919,-0.1268304374123351
0.92,-0.13143568640442002
0.921,-0.10787391321023489
0.922,-0.07864050778166203
0.923,-0.07262035972857697
0.924,-0.09154915284183363
0.925,-0.10728514730422564
0.926,-0.09826206290263524
0.927,-0.07762914412188796
0.928,-0.06781096818517159
0.929,-0.07312265881032748
0.93,-0.07826122030418144
0.931,-0.07555996471835547
0.932,-0.07520479860365083
0.933,-0.08269830174131693
0.934,-0.09198135354608374
0.935,-0.08605680849792477
0.936,-0.07353505157065789
0.937,-0.0845716257570798
0.938,-0.10946171987827065
0.939,-0.11972562504712755
0.94,-0.11388363857957802
0.941,-0.09985184515799793
0.942,-0.08840104153108262
0.943,-0.10532622788921708
0.944,-0.13801204724651298
0.945,-0.1531313315565574
0.946,-0.13608433130034378
0.947,-0.10666896313577862
0.948,-0.10354863856472844
0.949,-0.13916491036418724
0.95,-0.16213118261637485
0.951,-0.14956761923691217
0.952,-0.12449016797780815
0.953,-0.10863677233844185
0.954,-0.11708814356287804
0.955,-0.14299758550241895
0.956,-0.15974863135106912
0.957,-0.14380577154980073
0.958,-0.11352972232883908
0.959,-0.09261758469575011
0.96,-0.10595967614904805
0.961,-0.13544304798309365
0.962,-0.14325612660942874
0.963,-0.11970259997926483
0.964,-0.09124840679035728
0.965,-0.09112046609463045
0.966,-0.1137118307912063
0.967,-0.1211201058292046
0.968,-0.11713193788853457
0.969,-0.1180323823514003
0.97,-0.10518089252709074
0.971,-0.08661715237830754
0.972,-0.09568115500732448
0.973,-0.12154003489288123
0.974,-0.1258210786264302
0.975,-0.10400234697158427
0.976,-0.08447269452740189
0.977,-0.08414311673635665
0.978,-0.09847799654459838
0.979,-0.10291109106943003
0.98,-0.09943885130524116
0.981,-0.09576243939001768
0.982,-0.09188984588783806
0.983,-0.08283759694021005
0.984,-0.07928406048911892
0.985,-0.08114941816122863
0.986,-0.08012556417586156
0.987,-0.08007235727390859
0.988,-0.07823102534224881
0.989,-0.06741880961092929
0.99,-0.045109591085130525
0.991,-0.02827732872638744
0.992,-0.04050934758445256
0.993,-0.06647515505037559
0.994,-0.07080597817288647
0.995,-0.04073695582537685
0.996,0.0025131375668371223
0.997,0.013197593051547983
0.998,-0.020415230209932064
0.999,-0.05542533064796496
1.0,-0.05723412571969687
1.001,-0.017135431683604475
1.002,0.022821107010520703
1.003,0.017060629686286393
1.004,-0.02416717299831362
1.005,-0.054900563740844656
1.006,-0.04455925736866384
1.007,-0.0010169799390582284
1.008,0.02066982098897463
